Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2010,44,11,Georgia,40.60%,39.80%,35.50%,"2,623,035","2,576,161",6464845.00,7255919.00,7.40%,"54,710","185,286","25,091","254,264",
2012,44,11,Georgia,59.30%,59.00%,52.30%,"3,919,355","3,900,050",6606607.00,7452696.00,7.20%,"52,737","442,061","24,761","311,790",
2014,44,11,Georgia,38.60%,38.20%,33.80%,"2,596,947","2,567,761",6725041.00,7601982.00,7.10%,"50,499","471,067","25,547","339,844",
1980,82,12,Hawaii,49.20%,46.90%,43.60%,"318,026","303,287",646583.00,695906.00,6.90%,985,0,0,985,
1982,82,12,Hawaii,48.50%,46.50%,43.10%,"325,459","311,853",671172.00,724189.00,7.10%,"1,461",0,0,"1,461",
1984,82,12,Hawaii,50.30%,48.40%,44.70%,"349,253","335,846",694187.00,750909.00,7.30%,"1,965",0,0,"1,965",
1986,82,12,Hawaii,48.10%,46.70%,43.10%,"344,416","334,115",715459.00,775534.00,7.50%,"2,180",0,0,"2,180",
1988,82,12,Hawaii,49.80%,47.90%,44.10%,"368,567","354,461",739890.00,803568.00,7.60%,"2,300",0,0,"2,300",
1990,82,12,Hawaii,45.90%,45.40%,41.70%,"354,144","349,666",770836.00,838633.00,7.80%,"2,533",0,0,"2,533",
1992,82,12,Hawaii,48.20%,46.90%,43.00%,"382,882","372,842",795148.00,866114.00,7.90%,"2,926",0,0,"2,926",
1994,82,12,Hawaii,46.60%,45.60%,41.80%,"377,011","369,013",808904.00,882189.00,7.90%,"3,333",0,0,"3,333",
1996,82,12,Hawaii,45.10%,43.90%,40.20%,"370,230","360,120",820055.00,895753.00,8.00%,"4,011",0,0,"4,011",
1998,82,12,Hawaii,49.60%,49.00%,44.80%,"412,520","407,556",832172.00,910645.00,8.10%,"4,924",0,0,"4,924",
2000,82,12,Hawaii,44.60%,44.20%,39.90%,"371,113","367,951",832642.00,923737.00,8.10%,"5,053",0,0,"5,053",
2002,82,12,Hawaii,44.20%,43.80%,40.20%,"385,462","382,110",872992.00,950520.00,8.00%,"5,635",0,0,"5,635",
2004,82,12,Hawaii,48.50%,48.20%,44.10%,"431,662","429,013",889540.00,982882.00,7.90%,"5,946",0,0,"5,946",
2006,82,12,Hawaii,38.40%,37.90%,34.60%,"348,988","344,315",908925.00,1012975.00,8.10%,"5,967",0,0,"5,967",
2008,82,12,Hawaii,49.00%,48.80%,43.80%,"456,064","453,568",930067.00,1036088.00,9.70%,"5,955",0,0,"5,955","20,090"
2010,82,12,Hawaii,40.30%,39.90%,36.00%,"386,302","382,563",959531.00,1062593.00,9.10%,"5,813",0,0,"5,912",
2012,82,12,Hawaii,44.50%,44.20%,39.90%,"437,159","434,697",982902.00,1088335.00,9.20%,"5,544",0,0,"5,544",
2014,82,12,Hawaii,36.50%,36.20%,32.90%,"369,554","366,125",1012123.00,1113693.00,8.60%,"5,721",0,0,"5,721",
1980,63,13,Idaho,70.40%,69.00%,67.90%,"446,045","437,431",633624.00,644004.00,1.50%,817,0,0,817,
1982,63,13,Idaho,51.10%,50.20%,49.30%,"332,237","326,522",650534.00,662251.00,1.60%,"1,044",0,0,"1,044",
1984,63,13,Idaho,63.70%,62.00%,60.80%,"421,935","411,144",662771.00,675772.00,1.70%,"1,253",0,0,"1,253",
1986,63,13,Idaho,59.30%,58.40%,57.20%,"392,909","387,426",663126.00,677205.00,1.90%,"1,448",0,0,"1,448",
1988,63,13,Idaho,63.10%,61.30%,59.90%,"421,213","408,968",667345.00,682522.00,2.00%,"1,581",0,0,"1,581",
1990,63,13,Idaho,47.60%,46.50%,45.30%,"328,340","320,610",690154.00,707535.00,2.20%,"1,961",0,0,"1,961",
1992,63,13,Idaho,66.90%,65.60%,63.80%,"491,725","482,142",734855.00,756119.00,2.50%,"2,256",0,0,"2,256",
1994,63,13,Idaho,53.50%,52.70%,51.00%,"419,330","413,346",784076.00,809957.00,2.80%,"2,811",0,0,"2,811",
1996,63,13,Idaho,61.60%,59.30%,57.20%,"508,030","489,481",825329.00,856420.00,3.20%,"3,832",0,0,"3,832",
1998,63,13,Idaho,45.80%,45.20%,42.50%,"386,720","381,248",843914.00,896422.00,3.50%,"4,083","31,172","1,309","20,978",
2000,63,13,Idaho,58.90%,57.20%,53.50%,"516,647","501,615",877406.00,935443.00,3.80%,"5,535","35,103","1,409","24,496",
2002,63,13,Idaho,45.20%,44.70%,42.00%,"416,533","411,477",921256.00,970916.00,4.00%,"5,825","31,361","1,961","23,467",
2004,63,13,Idaho,64.80%,63.20%,58.70%,"612,786","598,376",946160.00,1016255.00,4.10%,"6,312","44,580","2,370","30,972",
2006,63,13,Idaho,46.20%,45.40%,42.00%,"458,927","450,832",993010.00,1072895.00,4.40%,"7,124","48,609","2,482","33,911",
2008,63,13,Idaho,64.80%,63.60%,58.60%,"667,506","655,032",1029416.00,1117842.00,4.90%,"7,290","49,513","3,361","33,727","26,779"
2010,63,13,Idaho,42.90%,42.30%,39.40%,"459,079","452,535",1069446.00,1147210.00,4.70%,"7,268","13,721","3,957","23,131",
2012,63,13,Idaho,61.00%,59.80%,55.60%,"666,290","652,274",1091410.00,1173727.00,4.60%,"7,985","31,606","3,848","28,584",
2014,63,13,Idaho,39.80%,39.30%,36.50%,"445,307","439,830",1119882.00,1205611.00,4.60%,"7,901","33,450","4,217","30,850",
1980,21,14,Illinois,61.90%,60.40%,57.80%,"4,868,890","4,749,721",7868300.00,8216218.00,4.10%,"11,899",0,0,"11,899",
1982,21,14,Illinois,48.80%,46.50%,44.30%,"3,856,875","3,673,681",7908220.00,8284606.00,4.40%,"14,293",0,0,"14,293",
1984,21,14,Illinois,62.70%,60.80%,57.90%,"4,969,352","4,819,088",7922605.00,8327065.00,4.70%,"17,114",0,0,"17,114",
1986,21,14,Illinois,42.00%,39.70%,37.70%,"3,322,657","3,144,185",7912733.00,8343755.00,4.90%,"19,456",0,0,"19,456",
1988,21,14,Illinois,59.10%,57.30%,54.20%,"4,697,192","4,559,120",7950848.00,8410414.00,5.20%,"21,081",0,0,"21,081",
1990,21,14,Illinois,42.60%,40.60%,38.20%,"3,420,720","3,257,410",8029525.00,8535069.00,5.60%,"27,516",0,0,"27,516",
1992,21,14,Illinois,63.60%,62.20%,58.10%,"5,164,357","5,050,157",8113900.00,8688184.00,6.20%,"31,640",0,0,"31,640",
1994,21,14,Illinois,39.40%,38.00%,35.20%,"3,219,122","3,106,566",8175312.00,8819582.00,6.90%,"36,531",0,0,"36,531",
1996,21,14,Illinois,53.80%,52.50%,48.30%,"4,418,270","4,311,391",8215662.00,8927254.00,7.50%,"38,852",0,0,"38,852",
1998,21,14,Illinois,42.70%,41.00%,37.40%,"3,541,379","3,394,521",8285614.00,9070725.00,8.20%,"43,051",0,0,"43,051",
2000,21,14,Illinois,58.50%,56.20%,51.40%,"4,932,192","4,742,123",8432600.00,9208908.00,8.70%,"45,281",0,0,"45,281",
2002,21,14,Illinois,42.80%,41.40%,37.70%,"3,651,808","3,538,883",8540965.00,9302571.00,8.90%,"43,186",0,0,"43,186",
2004,21,14,Illinois,62.40%,61.50%,55.70%,"5,350,493","5,274,322",8576696.00,9391420.00,9.00%,"44,379",0,0,"44,379",
2006,21,14,Illinois,41.40%,40.20%,36.30%,"3,586,292","3,486,671",8667453.00,9483856.00,9.20%,"45,106",0,0,"45,106",
2008,21,14,Illinois,64.30%,63.60%,57.40%,"5,578,195","5,523,051",8681138.00,9615700.00,9.20%,"45,474",0,0,"45,474","200,530"
2010,21,14,Illinois,43.10%,42.40%,38.30%,"3,792,770","3,729,989",8798829.00,9735944.00,9.10%,"46,314",0,0,"48,418",
2012,21,14,Illinois,59.30%,58.90%,53.30%,"5,279,752","5,242,014",8899143.00,9827043.00,8.90%,"49,348",0,0,"49,348",
2014,21,14,Illinois,40.80%,40.20%,36.60%,"3,680,417","3,627,690",9028752.00,9922399.00,8.50%,"46,465",0,0,"46,465",
1980,22,15,Indiana,59.20%,58.30%,57.70%,"2,275,433","2,242,033",3846321.00,3885473.00,0.80%,"6,683",0,0,"6,683",
1982,22,15,Indiana,47.30%,46.80%,46.30%,"1,834,225","1,817,287",3879314.00,3921907.00,0.90%,"8,790",0,0,"8,790",
1984,22,15,Indiana,57.90%,57.00%,56.40%,"2,268,493","2,233,069",3916362.00,3960870.00,0.90%,"9,328",0,0,"9,328",
1986,22,15,Indiana,41.10%,39.40%,39.00%,"1,619,005","1,555,505",3943714.00,3990379.00,0.90%,"10,175",0,0,"10,175",
1988,22,15,Indiana,55.60%,54.30%,53.60%,"2,222,811","2,168,621",3996319.00,4045785.00,0.90%,"11,406",0,0,"11,406",
1990,22,15,Indiana,38.40%,36.80%,36.30%,"1,566,371","1,502,687",4080236.00,4135602.00,1.00%,"12,736",0,0,"12,736",
1992,22,15,Indiana,56.40%,55.40%,54.50%,"2,347,912","2,305,871",4162678.00,4230602.00,1.30%,"13,945",0,0,"13,945",
1994,22,15,Indiana,38.00%,36.40%,35.80%,"1,609,481","1,543,568",4235008.00,4315664.00,1.50%,"15,014",0,0,"15,014",
1996,22,15,Indiana,51.00%,49.60%,48.60%,"2,195,224","2,135,431",4302745.00,4397367.00,1.80%,"16,960",0,0,"16,960",
1998,22,15,Indiana,37.20%,36.50%,35.60%,"1,618,689","1,588,617",4348730.00,4457578.00,2.00%,"19,197",0,0,"19,197",
2000,22,15,Indiana,50.80%,49.30%,48.30%,"2,246,348","2,182,295",4424909.00,4527523.00,2.30%,"20,125",0,0,"20,125",
2002,22,15,Indiana,34.80%,33.90%,33.30%,"1,562,037","1,521,353",4494191.00,4587747.00,2.60%,"22,576",0,0,"22,576",
2004,22,15,Indiana,55.80%,54.80%,53.00%,"2,512,142","2,468,002",4504260.00,4660157.00,2.70%,"23,760",0,0,"23,760",
2006,22,15,Indiana,37.70%,36.60%,35.20%,"1,719,351","1,666,922",4559294.00,4743856.00,3.10%,"26,091",0,0,"26,091",
2008,22,15,Indiana,60.30%,59.10%,57.00%,"2,805,986","2,751,054",4653019.00,4826231.00,3.00%,"28,322",0,0,"28,322","89,605"
2010,22,15,Indiana,38.10%,37.10%,35.60%,"1,791,832","1,744,481",4697111.00,4896656.00,3.50%,"27,481",0,0,"28,028",
2012,22,15,Indiana,56.00%,55.20%,52.90%,"2,663,368","2,624,534",4755291.00,4960376.00,3.60%,"28,266",0,0,"28,266",
2014,22,15,Indiana,28.70%,27.80%,26.70%,"1,387,622","1,341,814",4829510.00,5033872.00,3.50%,"28,638",0,0,"28,638",
1980,31,16,Iowa,63.50%,63.60%,62.90%,"1,314,258","1,317,661",2070935.00,2093321.00,0.70%,"2,481","8,815",639,"7,528",
1982,31,16,Iowa,50.80%,50.20%,49.60%,"1,050,495","1,038,229",2068844.00,2094031.00,0.80%,"2,829","10,625","1,050","9,192",
1984,31,16,Iowa,65.10%,64.10%,63.30%,"1,339,886","1,319,805",2057482.00,2084995.00,0.80%,"2,836","11,924","1,662","10,460",
1986,31,16,Iowa,45.60%,45.10%,44.40%,"922,094","910,623",2020678.00,2049547.00,0.90%,"2,777","12,584","1,929","10,998",
1988,31,16,Iowa,61.40%,60.60%,59.70%,"1,240,854","1,225,614",2021793.00,2052326.00,0.90%,"3,034","13,099","1,945","11,529",
1990,31,16,Iowa,49.50%,48.40%,47.60%,"1,004,908","983,933",2030935.00,2065490.00,1.00%,"3,967","13,895","2,111","13,026",
1992,31,16,Iowa,66.10%,65.80%,64.50%,"1,360,856","1,354,607",2057690.00,2098809.00,1.30%,"4,518","14,084","2,065","13,625",
1994,31,16,Iowa,49.20%,48.00%,46.90%,"1,022,372","997,248",2077709.00,2128370.00,1.60%,"5,437","15,902","3,696","17,084",
1996,31,16,Iowa,59.70%,58.80%,57.30%,"1,251,983","1,234,075",2098332.00,2154320.00,1.80%,"6,342","15,386","2,200","16,235",
1998,31,16,Iowa,46.10%,45.30%,43.90%,"973,032","956,415",2112132.00,2176940.00,2.10%,"7,394","18,447","2,194","18,812",
2000,31,16,Iowa,,63.20%,59.60%,,"1,315,563",2082950.00,2199529.00,2.40%,"7,955","21,147","2,763","21,292",
2002,31,16,Iowa,48.70%,47.90%,45.70%,"1,040,201","1,023,075",2136683.00,2214936.00,2.50%,"8,395","19,970","2,787","21,167",
2004,31,16,Iowa,70.60%,69.90%,67.40%,"1,521,966","1,506,908",2156389.00,2239979.00,2.60%,"8,611","22,832","3,317","23,344",
2006,31,16,Iowa,49.20%,48.10%,46.30%,"1,071,509","1,048,033",2178322.00,2267991.00,2.80%,"8,875","22,622","3,560","23,746",
2008,31,16,Iowa,69.70%,69.40%,66.90%,"1,543,662","1,537,123",2216094.00,2298515.00,2.60%,"8,766","22,958","3,159","21,825","43,108"
2010,31,16,Iowa,50.70%,49.90%,47.90%,"1,133,429","1,116,063",2234516.00,2328262.00,3.20%,"9,276","8,862","3,197","19,916",
2012,31,16,Iowa,70.60%,70.30%,67.10%,"1,589,951","1,582,180",2251748.00,2356209.00,3.20%,"8,470","29,333","5,151","29,167",
2014,31,16,Iowa,50.30%,49.80%,47.30%,"1,142,284","1,129,700",2269179.00,2386733.00,3.60%,"8,686","29,929","5,769","31,215",
1980,32,17,Kansas,,57.50%,56.80%,,"979,795",1704420.00,1726471.00,1.10%,"2,494",0,0,"2,494",
1982,32,17,Kansas,,44.00%,43.30%,,"763,263",1736298.00,1761238.00,1.20%,"3,078",0,0,"3,078",
1984,32,17,Kansas,,58.40%,57.40%,,"1,021,991",1751223.00,1779487.00,1.30%,"4,244",0,0,"4,244",
1986,32,17,Kansas,,47.80%,47.00%,,"840,605",1757001.00,1788426.00,1.50%,"5,345",0,0,"5,345",
1988,32,17,Kansas,,56.00%,54.90%,,"993,044",1774451.00,1808604.00,1.60%,"5,817",0,0,"5,817",
1990,32,17,Kansas,45.20%,44.10%,43.20%,"805,251","786,096",1783412.00,1821368.00,1.80%,"5,775",0,0,"5,775",
1992,32,17,Kansas,64.10%,63.90%,62.30%,"1,161,044","1,157,335",1810750.00,1857444.00,2.20%,"6,028",0,0,"6,028",
1994,32,17,Kansas,45.50%,44.70%,43.40%,"836,251","820,846",1837694.00,1893521.00,2.60%,"6,371",0,0,"6,371",
1996,32,17,Kansas,57.80%,57.30%,55.30%,"1,073,520","1,063,452",1856507.00,1922601.00,3.00%,"7,756",0,0,"7,756",
1998,32,17,Kansas,39.70%,38.80%,37.20%,"743,288","727,236",1873438.00,1955236.00,3.50%,"8,183",0,"6,025","14,208",
2000,32,17,Kansas,56.70%,55.60%,54.00%,"1,092,716","1,072,216",1927950.00,1983933.00,3.90%,"8,344",0,"3,829","12,173",
2002,32,17,Kansas,44.90%,44.00%,41.40%,"851,966","835,692",1897261.00,2007407.00,4.10%,"9,009","15,217","3,990","20,608",
2004,32,17,Kansas,62.90%,61.60%,58.30%,"1,213,108","1,187,756",1928764.00,2032763.00,4.30%,"9,152","14,309","4,525","20,832",
2006,32,17,Kansas,44.30%,43.60%,41.10%,"864,083","849,700",1948850.00,2062668.00,4.70%,"8,816","15,518","4,666","21,241",
2008,32,17,Kansas,63.50%,62.00%,58.80%,"1,264,208","1,235,872",1991759.00,2100084.00,4.20%,"8,539","16,263","4,958","19,150","42,495"
2010,32,17,Kansas,42.60%,41.70%,39.20%,"857,658","838,790",2011497.00,2137815.00,5.20%,"8,741","3,704","5,063","15,287",
2012,32,17,Kansas,58.20%,56.90%,53.50%,"1,182,771","1,156,254",2030686.00,2162442.00,5.00%,"9,346","17,021","5,126","23,493",
2014,32,17,Kansas,43.30%,42.50%,39.80%,"887,023","869,502",2048164.00,2184712.00,5.20%,"9,326","16,328","4,051","22,521",
1980,51,18,Kentucky,,50.50%,49.90%,,"1,294,627",2562572.00,2592185.00,0.50%,"3,588","12,400","8,120","17,908",
1982,51,18,Kentucky,,26.80%,26.50%,,"700,322",2615445.00,2642810.00,0.50%,"4,031","14,516","3,430","14,719",
1984,51,18,Kentucky,,51.80%,51.20%,,"1,369,345",2643027.00,2672424.00,0.50%,"4,820","15,004","3,567","15,889",
1986,51,18,Kentucky,,25.50%,25.20%,,"677,280",2661218.00,2687605.00,0.50%,"5,288","6,841","3,370","12,079",
1988,51,18,Kentucky,,49.30%,48.80%,,"1,322,517",2680364.00,2709782.00,0.60%,"7,119","7,398","3,443","14,261",
1990,51,18,Kentucky,,33.60%,33.20%,,"916,010",2722356.00,2755670.00,0.60%,"9,023","7,482","3,183","15,947",
1992,51,18,Kentucky,,53.80%,53.00%,,"1,492,900",2772600.00,2814763.00,0.80%,"10,364","10,750","3,684","19,423",
1994,51,18,Kentucky,29.20%,27.70%,27.20%,"827,541","784,299",2829881.00,2879413.00,1.00%,"11,066","11,417","4,380","21,155",
1996,51,18,Kentucky,49.30%,48.20%,47.30%,"1,419,592","1,388,707",2880808.00,2938362.00,1.20%,"12,910","11,689","4,621","23,376",
1998,51,18,Kentucky,41.50%,39.10%,38.20%,"1,215,053","1,145,414",2930780.00,2999287.00,1.30%,"14,987","17,594","4,508","28,292",
2000,51,18,Kentucky,53.10%,52.20%,50.40%,"1,568,058","1,544,107",2955628.00,3059582.00,1.50%,"14,919","19,620","4,614","29,343",
2002,51,18,Kentucky,,37.20%,36.40%,,"1,131,313",3044267.00,3100972.00,1.70%,"16,377","24,480","5,968","34,585",
2004,51,18,Kentucky,59.40%,58.70%,56.90%,"1,816,867","1,795,860",3057741.00,3157464.00,1.70%,"17,763","33,286","8,006","42,412",
2006,51,18,Kentucky,44.20%,40.40%,39.00%,"1,370,062","1,253,526",3100828.00,3218000.00,1.90%,"20,000","41,162","10,162","50,743",
2008,51,18,Kentucky,59.00%,57.90%,55.70%,"1,858,578","1,826,508",3152629.00,3277617.00,2.20%,"21,706","51,035","12,277","53,362","58,518"
2010,51,18,Kentucky,44.30%,42.40%,40.70%,"1,417,995","1,356,468",3198093.00,3332204.00,2.40%,"20,385","25,688","14,628","53,546",
2012,51,18,Kentucky,56.20%,55.70%,53.40%,"1,815,843","1,797,212",3229185.00,3368684.00,2.20%,"21,863","54,511","14,419","65,173",
2014,51,18,Kentucky,44.90%,44.20%,42.20%,"1,459,409","1,435,868",3247300.00,3406506.00,2.70%,"21,402","54,107","16,729","68,431",
1980,45,19,Louisiana,,54.00%,53.20%,,"1,548,591",2868792.00,2910776.00,1.10%,"8,889",0,0,"8,889",
1982,45,19,Louisiana,,,,,,2982702.00,3029834.00,1.20%,"10,930",0,0,"10,930",
1984,45,19,Louisiana,,56.50%,55.60%,,"1,706,822",3019930.00,3072074.00,1.30%,"13,659",0,0,"13,659",
1986,45,19,Louisiana,,45.40%,44.60%,,"1,369,897",3014498.00,3069021.00,1.30%,"14,300",0,0,"14,300",
1988,45,19,Louisiana,,55.40%,54.20%,,"1,628,202",2941023.00,3005785.00,1.40%,"16,242",0,"7,387","23,629",
1990,45,19,Louisiana,,47.20%,46.20%,,"1,396,113",2959148.00,3020682.00,1.40%,"18,599",0,0,"18,599",
1992,45,19,Louisiana,60.00%,59.70%,58.40%,"1,799,596","1,790,017",2997301.00,3063068.00,1.50%,"20,980",0,0,"20,980",
1994,45,19,Louisiana,29.40%,27.20%,26.60%,"893,758","826,837",3038660.00,3109456.00,1.50%,"24,063",0,0,"24,063",
1996,45,19,Louisiana,58.40%,57.80%,56.40%,"1,804,640","1,783,959",3087693.00,3163302.00,1.50%,"26,776",0,0,"26,776",
1998,45,19,Louisiana,32.00%,31.30%,30.10%,"990,243","969,165",3097660.00,3216121.00,1.60%,"32,228","33,028","18,759","67,501",
2000,45,19,Louisiana,56.70%,56.40%,54.20%,"1,776,133","1,765,656",3130267.00,3260060.00,1.60%,"35,207","35,854","22,860","75,994",
2002,45,19,Louisiana,40.10%,39.40%,37.80%,"1,267,225","1,246,333",3163663.00,3312330.00,1.70%,"36,091","36,257","23,049","77,269",
2004,45,19,Louisiana,61.50%,61.10%,58.50%,"1,956,590","1,943,106",3182762.00,3379937.00,1.80%,"36,745","38,470","24,387","80,367",
2006,45,19,Louisiana,31.40%,29.70%,28.30%,"954,896","902,498",3043573.00,3239317.00,2.00%,"37,012","38,057","24,072","80,113",
2008,45,19,Louisiana,61.80%,61.20%,58.70%,"1,979,852","1,960,761",3205794.00,3342279.00,2.00%,"38,381","40,025","24,636","70,712","68,285"
2010,45,19,Louisiana,40.00%,38.90%,36.80%,"1,298,649","1,264,994",3249524.00,3438247.00,2.70%,"39,335","42,599","26,202","95,145",
2012,45,19,Louisiana,60.80%,60.20%,57.00%,"2,014,548","1,994,065",3311626.00,3495847.00,2.70%,"40,047","41,298","28,946","90,881",
2014,45,19,Louisiana,44.90%,43.90%,41.50%,"1,503,975","1,472,039",3349433.00,3545845.00,3.00%,"37,881","40,979","29,619","90,448",
1980,2,20,Maine,,65.40%,64.60%,,"523,011",799746.00,810240.00,1.30%,0,0,0,0,
1982,2,20,Maine,,56.30%,55.50%,,"460,295",817814.00,828907.00,1.30%,0,0,0,0,
1984,2,20,Maine,,65.80%,64.90%,,"553,144",840251.00,852022.00,1.40%,0,0,0,0,
1986,2,20,Maine,,49.70%,49.00%,,"426,861",858200.00,870604.00,1.40%,0,0,0,0,
1988,2,20,Maine,,62.50%,61.50%,,"555,035",888612.00,901850.00,1.50%,0,0,0,0,
1990,2,20,Maine,,57.30%,56.50%,,"522,181",910982.00,924839.00,1.50%,0,0,0,0,
1992,2,20,Maine,,74.30%,73.10%,,"679,499",915082.00,928998.00,1.50%,0,0,0,0,
1994,2,20,Maine,,55.70%,54.90%,,"511,733",918204.00,932164.00,1.50%,0,0,0,0,
1996,2,20,Maine,,65.20%,64.20%,,"605,897",929970.00,944106.00,1.50%,0,0,0,0,
1998,2,20,Maine,,51.60%,50.80%,,"486,808",943577.00,957916.00,1.50%,0,0,0,0,
2000,2,20,Maine,,67.20%,66.40%,,"651,817",969292.00,979314.00,1.50%,0,0,0,0,
2002,2,20,Maine,,50.80%,50.10%,,"505,190",995056.00,1001796.00,1.60%,0,0,0,0,
2004,2,20,Maine,74.90%,73.80%,72.60%,"751,519","740,752",1003792.00,1022043.00,1.60%,0,0,0,0,
2006,2,20,Maine,,54.20%,53.30%,,"550,865",1016287.00,1037200.00,1.70%,0,0,0,0,
2008,2,20,Maine,71.80%,70.60%,69.60%,"744,456","731,163",1036242.00,1049816.00,1.30%,0,0,0,0,"21,362"
2010,2,20,Maine,55.90%,55.20%,54.30%,"580,584","572,766",1038201.00,1055605.00,1.60%,0,0,0,0,
2012,2,20,Maine,69.30%,68.20%,67.00%,"724,758","713,180",1046008.00,1064779.00,1.80%,0,0,0,0,
2014,2,20,Maine,58.70%,58.10%,57.00%,"616,996","611,255",1051557.00,1071521.00,1.90%,0,0,0,0,
1980,52,21,Maryland,52.50%,52.00%,50.00%,"1,557,709","1,540,496",2964704.00,3081409.00,2.70%,"7,731","41,661","6,436","34,998",
1982,52,21,Maryland,39.20%,37.50%,35.90%,"1,190,011","1,139,149",3034834.00,3174995.00,3.00%,"11,617","52,603","6,024","43,943",
1984,52,21,Maryland,54.50%,53.80%,51.10%,"1,695,924","1,675,873",3113967.00,3278321.00,3.40%,"13,124","64,827","7,046","52,584",
1986,52,21,Maryland,36.10%,34.60%,32.70%,"1,161,136","1,112,637",3216833.00,3401061.00,3.80%,"13,326","69,134","7,494","55,387",
1988,52,21,Maryland,52.50%,51.60%,48.50%,"1,747,350","1,714,358",3325582.00,3535730.00,4.20%,"14,276","78,619","9,225","62,811",
1990,52,21,Maryland,34.50%,32.70%,30.60%,"1,170,867","1,111,088",3397126.00,3632477.00,4.50%,"17,848","82,898","11,192","70,489",
1992,52,21,Maryland,58.10%,57.70%,53.70%,"1,999,486","1,985,046",3440015.00,3695298.00,4.90%,"19,977","82,948","13,058","74,509",
1994,52,21,Maryland,41.30%,40.50%,37.60%,"1,437,450","1,410,299",3480270.00,3751305.00,5.20%,"20,998","76,940","14,795","74,263",
1996,52,21,Maryland,50.80%,50.40%,46.70%,"1,793,991","1,780,870",3530148.00,3817454.00,5.60%,"22,050","70,553","16,246","73,573",
1998,52,21,Maryland,43.60%,43.00%,39.60%,"1,556,994","1,535,978",3571087.00,3879108.00,6.00%,"22,572","78,051","15,528","77,126",
2000,52,21,Maryland,55.80%,55.50%,51.00%,"2,036,455","2,025,480",3649631.00,3972224.00,6.40%,"23,538","81,523","13,666","77,966",
2002,52,21,Maryland,46.80%,46.30%,41.60%,"1,721,626","1,704,560",3678346.00,4082694.00,6.90%,"24,186","81,982","13,271","78,448",
2004,52,21,Maryland,63.10%,62.90%,57.20%,"2,395,791","2,386,705",3797264.00,4179376.00,7.20%,"23,727","76,676","14,351","76,416",
2006,52,21,Maryland,47.20%,46.70%,42.20%,"1,809,237","1,788,316",3833349.00,4261205.00,7.90%,"22,945","75,698","14,271","75,065",
2008,52,21,Maryland,67.80%,67.00%,60.60%,"2,661,905","2,631,596",3925117.00,4342850.00,7.80%,"23,324","96,360","13,220","78,114","77,074"
2010,52,21,Maryland,46.70%,46.40%,41.80%,"1,868,179","1,857,880",4001034.00,4449617.00,8.80%,"21,992","26,164","13,195","55,407",
2012,52,21,Maryland,67.30%,66.60%,59.50%,"2,734,062","2,707,327",4063582.00,4553853.00,8.90%,"20,871","96,640","13,195","85,285",
2014,52,21,Maryland,42.00%,41.70%,37.30%,"1,745,104","1,733,177",4154546.00,4645171.00,8.90%,"20,388","79,539","11,537","76,467",
1980,3,22,Massachusetts,62.40%,61.40%,59.00%,"2,566,807","2,524,298",4110721.00,4281265.00,4.00%,0,0,0,0,
1982,3,22,Massachusetts,50.30%,49.00%,46.90%,"2,103,780","2,050,769",4184146.00,4375262.00,4.40%,0,0,0,0,
1984,3,22,Massachusetts,60.70%,59.90%,57.00%,"2,595,054","2,559,453",4273437.00,4486676.00,4.80%,0,0,0,0,
1986,3,22,Massachusetts,41.10%,38.90%,36.90%,"1,777,276","1,684,079",4326264.00,4560556.00,5.10%,0,0,0,0,
1988,3,22,Massachusetts,61.30%,60.00%,56.70%,"2,689,857","2,632,801",4385728.00,4642061.00,5.50%,0,0,0,0,
1990,3,22,Massachusetts,55.30%,53.40%,50.30%,"2,424,579","2,341,990",4384671.00,4660342.00,5.90%,0,0,0,0,
1992,3,22,Massachusetts,64.90%,63.80%,59.80%,"2,822,962","2,773,700",4346897.00,4640629.00,6.30%,0,0,0,0,
1994,3,22,Massachusetts,51.30%,50.10%,46.70%,"2,232,186","2,179,945",4353287.00,4668100.00,6.70%,0,0,0,0,
1996,3,22,Massachusetts,59.30%,58.40%,54.20%,"2,600,278","2,559,180",4385268.00,4723380.00,7.20%,0,0,0,0,
1998,3,22,Massachusetts,43.70%,43.00%,39.70%,"1,935,277","1,903,336",4430939.00,4793966.00,7.60%,0,0,0,0,
2000,3,22,Massachusetts,60.60%,59.90%,55.40%,"2,736,006","2,704,984",4517052.00,4870470.00,8.00%,0,0,0,0,
2002,3,22,Massachusetts,49.80%,49.20%,44.40%,"2,220,301","2,194,189",4458820.00,4919958.00,8.20%,"10,511",0,0,"10,511",
2004,3,22,Massachusetts,64.60%,64.20%,58.70%,"2,927,455","2,912,388",4533859.00,4935787.00,8.40%,"10,365",0,0,"10,365",
2006,3,22,Massachusetts,49.30%,48.80%,44.40%,"2,243,835","2,219,779",4552794.00,4970780.00,8.70%,"11,032",0,0,"11,032",
2008,3,22,Massachusetts,67.30%,66.80%,60.90%,"3,102,995","3,080,985",4612550.00,5058035.00,8.60%,"11,408",0,0,"11,408","77,830"
2010,3,22,Massachusetts,49.40%,48.90%,44.60%,"2,319,963","2,297,039",4693670.00,5152976.00,8.70%,"10,429",0,0,"11,312",
