ID,Gender,Marital Status,Work Status,Education,Annual Income (x1000 $),Age,Location,Purchasing Decision-maker,Purchasing Location,Monthly Electronics Spend,Monthly Household Spend,Purchasing Frequency (every x months),Technology Adoption,TV Viewing (hours/day),Favorite feature
305,male,single,professional,MA,54,41,Maine,single,specialty stores,88,276,8,early,0,cool gadget
306,female,married,professional,MA,55,61,New Hampshire,family,specialty stores,52,77,12,early,2,time shifting
307,male,married,none,none,21,67,North Dakota,family,retail,19,82,32,early,1,schedule control
308,female,married,professional,none,31,58,Colorado,single,discount,23,99,23,early,1,cool gadget
309,female,single,professional,BA,55,71,Texas,single,specialty stores,51,200,10,early,0,schedule control
310,female,single,professional,BA,27,26,New Hampshire,single,retail,35,59,46,early,6,programming/interactive features
311,male,married,professional,none,35,49,New Hampshire,single,retail,16,59,36,early,0,schedule control
312,female,married,none,BA,46,65,New York,family,mass-consumer electronics,43,135,36,late,2,saving favorite shows to watch as a family
313,female,married,professional,none,37,47,Washington,single,retail,20,98,27,early,0,time shifting
314,female,married,professional,none,34,27,Connecticut,single,discount,26,95,31,early,1,cool gadget
315,female,married,none,none,28,26,New York,family,discount,11,47,10,early,1,time shifting
316,male,married,professional,PhD,26,72,Maryland,single,discount,16,46,33,early,2,schedule control
317,female,married,none,none,28,38,New York,single,discount,19,53,20,early,2,schedule control
318,female,single,professional,none,29,51,New Hampshire,family,retail,14,61,5,early,0,schedule control
319,male,single,professional,MA,30,22,California,single,retail,38,55,34,early,4,programming/interactive features
320,female,single,professional,BA,29,76,Idaho,family,retail,13,22,29,early,1,time shifting
321,female,married,none,none,50,50,Hawaii,family,mass-consumer electronics,36,64,41,late,0,saving favorite shows to watch as a family
322,male,married,none,none,26,36,Pennsylvania,family,retail,17,45,11,early,1,time shifting
323,female,single,professional,BA,53,44,Kentucky,single,specialty stores,83,361,3,early,1,cool gadget
324,female,married,professional,MA,34,44,Massachusetts,family,discount,17,72,1,early,0,time shifting
325,male,married,none,BA,49,76,Washington,family,mass-consumer electronics,35,47,21,late,1,saving favorite shows to watch as a family
326,male,single,professional,MA,48,27,Oregon,single,mass-consumer electronics,37,99,19,late,5,saving favorite shows to watch as a family
327,male,single,none,none,28,79,Tennessee,single,retail,14,45,17,early,2,schedule control
328,male,married,none,none,35,45,Arizona,family,discount,13,36,26,early,2,schedule control
329,male,married,professional,MA,48,22,Nevada,family,specialty stores,55,202,3,early,0,cool gadget
330,female,married,professional,none,24,53,Georgia,single,retail,20,71,42,early,2,cool gadget
331,male,single,professional,none,31,28,Oregon,single,discount,34,77,39,early,3,programming/interactive features
332,female,married,professional,none,26,60,Colorado,single,retail,16,45,25,early,1,cool gadget
333,male,single,professional,none,27,54,New Jersey,single,retail,19,23,7,early,1,schedule control
334,male,single,none,none,34,63,New Jersey,single,discount,15,75,40,early,1,time shifting
335,female,single,professional,BA,53,39,Mississippi,single,specialty stores,39,69,14,early,1,cool gadget
336,male,single,professional,BA,32,25,Delaware,single,discount,31,47,6,early,2,programming/interactive features
337,female,single,professional,BA,56,37,Oregon,single,specialty stores,46,118,6,early,1,time shifting
338,male,married,professional,none,58,64,Delaware,family,specialty stores,54,102,5,early,2,time shifting
339,female,married,none,none,36,51,Pennsylvania,single,discount,21,64,31,early,1,time shifting
340,female,married,none,none,45,57,Maine,family,mass-consumer electronics,50,122,13,late,11,saving favorite shows to watch as a family
341,female,married,professional,none,35,26,Illinois,family,retail,15,73,23,early,1,cool gadget
342,male,single,professional,BA,30,25,Washington,single,discount,35,165,48,early,0,programming/interactive features
343,male,married,professional,none,60,80,New York,family,specialty stores,72,94,14,early,1,schedule control
344,female,single,professional,BA,34,32,Vermont,family,discount,19,76,46,early,2,schedule control
345,male,married,none,none,25,34,New Hampshire,single,retail,15,33,39,early,2,cool gadget
346,male,married,professional,BA,46,61,Pennsylvania,family,mass-consumer electronics,47,130,46,late,2,saving favorite shows to watch as a family
347,male,single,professional,none,30,32,Colorado,single,retail,12,39,43,early,1,time shifting
348,male,married,none,none,30,55,Arizona,single,retail,18,86,5,early,1,cool gadget
349,male,single,professional,none,54,71,New Hampshire,single,specialty stores,60,164,13,early,1,time shifting
350,female,single,professional,none,34,23,Indiana,single,retail,37,183,30,early,2,programming/interactive features
351,male,married,professional,BA,26,60,Hawaii,single,discount,18,41,40,early,1,cool gadget
352,male,married,professional,none,58,63,New York,family,specialty stores,58,223,8,early,1,cool gadget
353,male,single,professional,BA,30,21,Utah,single,discount,32,119,5,early,2,programming/interactive features
354,female,married,none,PhD,55,64,Vermont,family,mass-consumer electronics,40,129,37,late,3,saving favorite shows to watch as a family
355,female,married,professional,none,42,51,California,family,mass-consumer electronics,38,146,28,late,2,saving favorite shows to watch as a family
356,male,single,professional,none,30,52,Alabama,single,discount,14,52,44,early,1,schedule control
357,female,married,professional,BA,60,48,Vermont,family,specialty stores,42,76,10,early,1,time shifting
358,male,married,professional,none,28,67,Idaho,single,discount,18,29,12,early,1,cool gadget
359,male,married,professional,BA,28,59,Georgia,family,retail,17,85,10,early,0,cool gadget
360,male,married,professional,BA,62,80,Maine,family,specialty stores,67,119,11,early,2,schedule control
361,female,married,professional,none,27,69,New York,single,discount,20,25,13,early,2,cool gadget
362,male,married,professional,MA,45,66,Idaho,family,specialty stores,55,181,14,early,2,time shifting
363,male,single,professional,none,29,20,Louisiana,single,web (ebay),34,155,13,early,5,programming/interactive features
364,female,married,professional,none,29,67,Arizona,family,discount,17,64,14,early,1,time shifting
365,female,single,professional,none,35,54,Tennessee,single,retail,19,36,18,early,1,cool gadget
366,male,single,professional,none,31,73,Connecticut,single,retail,17,44,4,early,1,schedule control
367,male,married,professional,BA,28,49,Colorado,family,retail,20,58,34,early,2,time shifting
368,female,married,professional,MA,61,48,Connecticut,family,specialty stores,45,222,12,early,2,time shifting
369,male,married,professional,PhD,51,72,California,family,mass-consumer electronics,34,59,24,late,11,saving favorite shows to watch as a family
370,male,married,professional,BA,53,38,Vermont,family,specialty stores,54,240,4,early,1,schedule control
371,female,married,professional,none,31,63,Maine,family,discount,15,55,20,early,1,cool gadget
372,female,married,none,none,31,25,Rhode Island,single,discount,15,39,48,early,2,time shifting
373,female,single,none,none,33,40,Wisconsin,family,retail,19,36,33,early,0,time shifting
374,male,married,none,none,40,72,Maryland,family,mass-consumer electronics,46,128,46,late,1,saving favorite shows to watch as a family
375,female,single,professional,none,27,24,New York,family,discount,16,48,29,early,0,cool gadget
376,female,single,professional,MA,30,21,Nevada,single,web (ebay),33,52,13,early,5,programming/interactive features
377,male,single,professional,BA,30,21,South Carolina,single,retail,35,119,33,early,6,programming/interactive features
378,male,married,professional,BA,25,29,California,single,retail,15,30,17,early,1,schedule control
379,female,single,professional,BA,55,48,Georgia,single,specialty stores,71,185,9,early,0,cool gadget
380,male,single,professional,MA,32,26,Pennsylvania,single,retail,28,95,14,early,1,programming/interactive features
381,female,married,professional,BA,26,41,Colorado,single,retail,15,32,17,early,2,time shifting
382,male,married,none,BA,29,53,Delaware,single,discount,15,34,28,early,1,time shifting
383,female,single,professional,BA,31,25,North Dakota,single,retail,39,137,10,early,6,programming/interactive features
384,male,married,none,none,34,33,Tennessee,single,discount,17,37,5,early,0,cool gadget
385,female,single,professional,none,52,59,Montana,single,specialty stores,69,298,6,early,0,time shifting
386,male,married,professional,BA,54,43,Illinois,family,specialty stores,71,351,12,early,2,schedule control
387,male,married,none,none,36,60,Tennessee,single,retail,18,72,5,early,1,schedule control
388,male,single,none,BA,45,57,Missouri,single,mass-consumer electronics,51,125,32,late,11,saving favorite shows to watch as a family
389,female,married,professional,none,27,26,New Jersey,single,retail,18,61,40,early,0,time shifting
390,male,married,professional,BA,55,47,Illinois,family,specialty stores,58,89,11,early,1,time shifting
391,male,married,professional,MA,28,25,Montana,single,discount,27,126,29,early,2,programming/interactive features
392,female,married,professional,BA,33,44,Illinois,single,retail,20,91,29,early,2,cool gadget
393,female,single,none,PhD,35,63,Hawaii,family,retail,18,78,41,early,2,cool gadget
394,male,married,professional,BA,57,62,California,family,specialty stores,60,128,15,early,1,cool gadget
395,male,single,professional,BA,28,24,North Dakota,single,retail,36,124,23,early,5,programming/interactive features
396,male,married,none,BA,27,35,Nevada,single,retail,18,22,32,early,1,cool gadget
397,female,married,professional,BA,49,28,Delaware,family,mass-consumer electronics,40,111,44,late,11,saving favorite shows to watch as a family
398,female,married,professional,none,29,68,California,family,discount,18,42,9,early,1,schedule control
399,female,married,professional,none,26,55,Maine,single,retail,16,28,2,early,2,cool gadget
400,male,married,professional,MA,58,64,Pennsylvania,family,specialty stores,76,137,12,early,0,cool gadget
401,female,married,professional,none,36,74,New Mexico,single,retail,16,44,41,early,0,schedule control
402,female,single,professional,PhD,28,27,Nevada,single,web (ebay),28,42,24,early,3,programming/interactive features
403,male,married,none,none,24,35,Delaware,family,retail,22,76,43,early,1,cool gadget
404,female,single,none,none,49,41,Mississippi,single,mass-consumer electronics,36,106,38,late,2,saving favorite shows to watch as a family
405,male,married,professional,PhD,47,50,Tennessee,family,mass-consumer electronics,43,165,24,late,11,saving favorite shows to watch as a family
406,male,single,professional,BA,28,24,Alabama,single,retail,32,123,32,early,1,programming/interactive features
407,female,single,professional,MA,27,20,Minnesota,single,discount,31,112,25,early,5,programming/interactive features
408,male,married,professional,PhD,28,36,Georgia,family,retail,22,28,5,early,1,time shifting
409,male,married,professional,PhD,48,76,Maryland,family,mass-consumer electronics,44,61,15,late,11,saving favorite shows to watch as a family
410,female,single,none,BA,33,48,Colorado,single,discount,17,40,7,early,2,schedule control
411,female,single,professional,BA,60,50,West Virginia,single,specialty stores,65,207,12,early,2,time shifting
412,male,single,none,none,30,47,Massachusetts,single,retail,17,63,46,early,0,cool gadget
413,male,married,none,none,34,39,California,family,retail,19,52,27,early,0,schedule control
414,male,married,professional,BA,58,64,Arizona,family,specialty stores,60,258,2,early,2,schedule control
415,female,married,none,none,23,54,New York,single,discount,16,63,18,early,0,schedule control
416,female,married,professional,none,46,80,Washington,family,mass-consumer electronics,35,171,42,late,4,saving favorite shows to watch as a family
417,female,single,professional,BA,60,43,Virginia,single,specialty stores,39,124,7,early,1,time shifting
418,female,married,professional,none,29,77,Georgia,family,discount,17,41,39,early,1,cool gadget
419,male,married,professional,BA,35,33,New York,family,discount,16,25,35,early,1,schedule control
420,male,married,professional,PhD,46,22,New York,family,specialty stores,73,255,3,early,1,time shifting
421,female,married,professional,none,33,56,Rhode Island,single,discount,14,58,24,early,2,schedule control
422,male,married,professional,none,28,56,Kansas,family,retail,17,47,14,early,1,cool gadget
423,female,married,professional,none,31,50,Delaware,family,retail,18,27,34,early,0,time shifting
424,male,married,professional,PhD,58,65,Maine,family,specialty stores,85,182,9,early,1,schedule control
425,male,married,professional,none,31,65,Pennsylvania,single,retail,13,23,16,early,1,schedule control
426,female,single,professional,PhD,29,19,New Jersey,single,web (ebay),33,73,42,early,3,programming/interactive features
427,female,single,professional,MA,31,22,Idaho,single,discount,35,99,24,early,1,programming/interactive features
428,male,married,professional,BA,50,24,New Hampshire,family,specialty stores,54,171,7,early,1,schedule control
429,female,single,professional,MA,28,23,New Jersey,single,discount,33,96,38,early,6,programming/interactive features
430,female,married,none,MA,51,53,Arizona,family,mass-consumer electronics,44,199,27,late,1,saving favorite shows to watch as a family
431,male,married,professional,none,28,55,Connecticut,single,discount,17,54,3,early,1,time shifting
432,male,married,none,none,33,59,Pennsylvania,family,discount,16,77,34,early,2,time shifting
433,female,single,professional,BA,34,26,Arizona,single,web (ebay),34,122,2,early,4,programming/interactive features
434,female,married,none,none,28,55,Nevada,single,retail,12,59,41,early,0,schedule control
435,male,married,professional,none,50,33,Arizona,family,mass-consumer electronics,47,96,34,late,1,saving favorite shows to watch as a family
436,female,married,none,none,32,28,Massachusetts,family,retail,21,79,33,early,1,cool gadget
437,male,married,professional,MA,55,53,Pennsylvania,family,mass-consumer electronics,37,83,30,late,8,saving favorite shows to watch as a family
438,male,married,professional,none,39,79,Tennessee,family,retail,14,53,1,early,1,time shifting
439,female,married,none,none,43,75,California,family,mass-consumer electronics,42,161,13,late,1,saving favorite shows to watch as a family
440,female,married,none,BA,43,72,Massachusetts,family,mass-consumer electronics,39,54,14,late,13,saving favorite shows to watch as a family
441,male,married,professional,BA,730,80,Nevada,family,specialty stores,65,137,14,early,1,schedule control
442,male,married,professional,none,59,70,New York,family,specialty stores,50,99,5,early,1,time shifting
443,male,married,professional,none,32,50,Florida,family,discount,16,60,19,early,1,cool gadget
444,female,married,professional,MA,49,71,Hawaii,family,mass-consumer electronics,46,203,41,late,4,saving favorite shows to watch as a family
445,male,married,professional,BA,56,52,New York,family,specialty stores,63,154,2,early,2,cool gadget
446,female,married,professional,none,32,42,Idaho,family,discount,18,75,16,early,2,cool gadget
447,male,married,professional,BA,54,45,New Hampshire,family,specialty stores,59,221,12,early,1,schedule control
448,female,single,professional,MA,29,20,Michigan,single,web (ebay),31,35,44,early,2,programming/interactive features
449,male,single,professional,PhD,33,27,New York,single,discount,34,118,24,early,3,programming/interactive features
450,female,single,professional,none,32,23,Colorado,family,discount,18,47,4,early,2,schedule control
451,female,married,professional,BA,53,28,California,family,mass-consumer electronics,40,187,18,late,6,saving favorite shows to watch as a family
452,male,single,professional,BA,27,63,Connecticut,family,retail,19,21,31,early,2,schedule control
453,male,single,professional,MA,30,39,California,single,retail,19,56,27,early,1,cool gadget
454,female,married,none,BA,29,26,Connecticut,single,retail,17,47,11,early,0,schedule control
455,male,married,professional,PhD,51,38,Pennsylvania,family,mass-consumer electronics,40,116,33,late,0,saving favorite shows to watch as a family
456,male,married,professional,BA,52,32,Arizona,family,specialty stores,52,214,4,early,1,time shifting
457,female,single,professional,BA,29,22,Kentucky,single,retail,35,83,8,early,4,programming/interactive features
458,female,married,professional,MA,47,35,Rhode Island,family,mass-consumer electronics,50,209,46,late,7,saving favorite shows to watch as a family
459,male,married,none,none,32,49,Delaware,single,retail,15,45,26,early,0,schedule control
460,male,married,professional,none,24,53,Washington,single,discount,14,18,45,early,1,cool gadget
461,male,single,none,none,29,56,Vermont,single,discount,23,42,21,early,2,schedule control
462,male,single,professional,BA,24,27,North Carolina,single,web (ebay),32,126,17,early,3,programming/interactive features
463,female,married,none,MA,49,47,Arizona,family,mass-consumer electronics,47,139,14,late,4,saving favorite shows to watch as a family
464,male,married,none,PhD,48,64,New Hampshire,family,mass-consumer electronics,39,67,40,late,10,saving favorite shows to watch as a family
465,female,married,professional,none,61,32,New Jersey,family,specialty stores,48,117,3,early,1,schedule control
466,female,married,professional,BA,46,62,New Hampshire,family,mass-consumer electronics,38,132,24,late,0,saving favorite shows to watch as a family
467,male,married,professional,MA,52,36,Delaware,family,specialty stores,60,111,7,early,1,schedule control
468,male,single,professional,none,29,80,Tennessee,single,retail,14,56,17,early,1,time shifting
469,male,single,none,none,26,67,Minnesota,family,discount,22,46,21,early,2,cool gadget
470,male,married,professional,BA,59,69,Tennessee,family,specialty stores,61,286,14,early,2,cool gadget
471,male,single,professional,none,29,30,Washington,single,discount,18,39,46,early,1,time shifting
472,male,married,professional,PhD,29,67,Oklahoma,single,retail,18,74,25,early,1,cool gadget
473,male,married,professional,BA,30,55,Hawaii,single,retail,19,35,17,early,2,time shifting
474,female,married,none,PhD,49,75,Rhode Island,family,mass-consumer electronics,36,80,35,late,6,saving favorite shows to watch as a family
475,male,married,professional,none,32,48,Maryland,family,retail,19,28,44,early,1,time shifting
476,male,married,none,none,26,75,Tennessee,family,discount,14,47,24,early,1,cool gadget
477,female,married,professional,none,29,23,Washington,family,retail,21,80,31,early,0,cool gadget
478,male,single,professional,none,23,29,Montana,single,web (ebay),35,114,17,early,3,programming/interactive features
479,male,married,professional,BA,53,40,California,family,specialty stores,65,180,14,early,2,cool gadget
480,female,single,professional,none,30,55,Maine,family,retail,15,55,46,early,2,cool gadget
481,male,married,professional,BA,33,78,Idaho,single,retail,18,66,41,early,2,cool gadget
482,female,married,professional,BA,51,28,Rhode Island,family,specialty stores,75,282,5,early,1,cool gadget
483,male,married,professional,PhD,46,56,Pennsylvania,family,mass-consumer electronics,54,194,17,late,5,saving favorite shows to watch as a family
484,female,married,none,BA,44,57,Maryland,family,mass-consumer electronics,36,173,26,late,9,saving favorite shows to watch as a family
485,female,married,none,BA,49,57,Pennsylvania,family,mass-consumer electronics,42,81,47,late,5,saving favorite shows to watch as a family
486,male,married,professional,none,29,24,Colorado,single,retail,13,51,37,early,0,cool gadget
487,female,married,professional,none,31,62,Pennsylvania,family,retail,19,39,10,early,0,schedule control
488,male,married,none,BA,52,48,Washington,family,mass-consumer electronics,39,62,27,late,1,saving favorite shows to watch as a family
489,male,single,professional,PhD,34,22,West Virginia,single,discount,34,118,27,early,2,programming/interactive features
490,female,single,professional,PhD,49,62,North Carolina,single,mass-consumer electronics,43,123,37,late,2,saving favorite shows to watch as a family
491,female,married,professional,none,30,31,Delaware,family,retail,24,70,38,early,1,cool gadget
492,female,married,professional,PhD,45,67,Florida,family,mass-consumer electronics,39,144,21,late,7,saving favorite shows to watch as a family
493,female,married,none,BA,28,65,New Mexico,single,retail,15,62,39,early,1,cool gadget
494,female,married,none,PhD,33,34,Delaware,family,retail,18,45,44,early,1,time shifting
495,male,married,professional,BA,46,39,Pennsylvania,family,mass-consumer electronics,45,166,37,late,11,saving favorite shows to watch as a family
496,male,married,professional,PhD,29,19,South Carolina,single,retail,40,109,21,early,1,programming/interactive features
497,female,married,professional,BA,52,42,Connecticut,family,specialty stores,57,250,15,early,1,cool gadget
498,female,married,professional,none,29,68,Massachusetts,family,discount,17,74,8,early,2,schedule control
499,male,married,professional,BA,54,44,New Jersey,family,specialty stores,66,139,10,early,2,cool gadget
500,male,married,professional,MA,55,46,Arizona,family,specialty stores,72,252,14,early,1,schedule control
501,female,single,none,none,30,58,Georgia,single,discount,21,71,2,early,1,time shifting
502,male,single,professional,none,24,56,Maine,family,retail,18,58,20,early,2,time shifting
503,male,married,none,MA,29,73,Colorado,family,discount,19,86,30,early,2,cool gadget
504,female,married,none,none,35,42,Idaho,family,discount,20,43,40,early,0,schedule control
505,female,married,professional,BA,31,56,New Hampshire,family,discount,18,43,18,early,0,cool gadget
506,female,married,professional,none,32,35,Massachusetts,single,retail,18,29,29,early,2,cool gadget
507,male,single,professional,none,35,66,Texas,single,discount,15,72,43,early,1,time shifting
508,male,married,professional,none,57,59,New Hampshire,family,specialty stores,61,221,14,early,1,schedule control
509,female,married,none,MA,50,54,Pennsylvania,family,mass-consumer electronics,46,137,17,late,10,saving favorite shows to watch as a family
510,male,married,professional,none,24,50,Arizona,single,discount,12,44,36,early,2,time shifting
511,male,single,professional,none,30,27,Illinois,single,discount,29,94,46,early,4,programming/interactive features
512,male,married,none,BA,25,66,Iowa,single,discount,20,73,46,early,0,cool gadget
513,male,married,professional,none,49,24,Tennessee,family,specialty stores,49,158,16,early,2,cool gadget
514,male,married,none,none,27,31,Idaho,single,discount,22,87,3,early,0,cool gadget
515,female,single,professional,none,32,18,Alabama,single,discount,29,91,43,early,1,programming/interactive features
516,male,married,none,none,28,30,Georgia,family,discount,17,85,10,early,2,schedule control
517,female,married,none,none,47,60,Pennsylvania,family,mass-consumer electronics,34,67,32,late,1,saving favorite shows to watch as a family
518,male,single,professional,BA,54,51,Colorado,single,specialty stores,54,82,9,early,1,time shifting
519,male,married,professional,none,27,76,Illinois,family,discount,18,28,17,early,0,cool gadget
520,male,married,none,none,29,61,Maine,family,discount,21,29,11,early,1,time shifting
521,male,married,professional,none,34,38,Nevada,family,retail,22,59,34,early,1,cool gadget
522,female,married,none,MA,46,74,New York,family,mass-consumer electronics,46,132,23,late,9,saving favorite shows to watch as a family
523,male,married,none,none,34,72,Maine,family,retail,17,43,17,early,2,time shifting
524,female,single,professional,BA,55,26,Virginia,single,specialty stores,75,306,5,early,0,schedule control
525,male,single,professional,PhD,27,27,Connecticut,single,retail,36,128,9,early,1,programming/interactive features
526,female,single,professional,BA,60,54,Illinois,single,specialty stores,47,194,1,early,1,time shifting
527,female,married,none,BA,32,41,Florida,single,discount,23,109,38,early,0,cool gadget
528,female,married,none,none,29,60,Vermont,single,discount,20,98,20,early,0,time shifting
529,male,single,professional,PhD,31,29,Kentucky,single,web (ebay),31,58,22,early,5,programming/interactive features
530,male,married,professional,MA,56,52,Colorado,family,specialty stores,44,73,2,early,2,time shifting
531,male,single,professional,BA,28,23,Hawaii,family,discount,18,69,20,early,2,time shifting
532,female,single,professional,none,28,22,Louisiana,single,web (ebay),34,50,32,early,4,programming/interactive features
533,male,married,professional,BA,58,62,Arizona,family,specialty stores,54,171,7,early,0,cool gadget
534,male,married,none,BA,32,37,Maryland,family,retail,18,58,34,early,1,time shifting
535,female,married,none,none,31,69,Colorado,family,discount,14,63,19,early,1,cool gadget
536,male,married,professional,none,60,78,Hawaii,family,specialty stores,61,183,4,early,0,time shifting
537,female,married,none,none,50,52,Washington,family,mass-consumer electronics,33,87,19,late,8,saving favorite shows to watch as a family
538,male,married,none,none,35,57,Connecticut,single,discount,15,56,41,early,0,time shifting
539,male,married,professional,none,27,59,Florida,family,discount,19,76,12,early,1,cool gadget
540,female,married,none,none,26,34,New Jersey,family,discount,17,54,31,early,0,time shifting
541,male,married,professional,none,27,50,Wisconsin,single,retail,23,57,24,early,0,time shifting
542,female,married,professional,none,33,36,New York,family,retail,18,31,19,early,1,time shifting
543,female,married,none,none,48,34,Florida,family,mass-consumer electronics,39,133,17,late,5,saving favorite shows to watch as a family
544,male,married,professional,none,24,76,Delaware,single,retail,19,41,10,early,1,time shifting
545,female,single,professional,none,27,33,Tennessee,family,discount,15,20,37,early,2,time shifting
546,male,married,professional,PhD,49,56,Florida,family,mass-consumer electronics,36,146,33,late,10,saving favorite shows to watch as a family
547,female,married,none,none,34,41,Pennsylvania,single,retail,17,35,29,early,1,time shifting
548,male,married,professional,none,34,56,Idaho,single,retail,16,46,35,early,1,cool gadget
549,male,married,none,MA,49,69,New Hampshire,family,mass-consumer electronics,47,178,31,late,3,saving favorite shows to watch as a family
550,female,married,professional,none,31,51,Washington,single,retail,16,41,6,early,1,schedule control
551,male,single,professional,BA,26,77,Florida,single,retail,16,64,2,early,1,cool gadget
552,female,single,professional,BA,30,30,Oregon,single,retail,34,90,6,early,5,programming/interactive features
553,female,married,none,MA,33,28,Massachusetts,single,discount,18,68,41,early,0,time shifting
554,male,married,none,none,31,40,Texas,single,discount,17,66,35,early,1,time shifting
555,female,married,professional,none,45,72,Colorado,family,mass-consumer electronics,44,125,17,late,0,saving favorite shows to watch as a family
556,female,single,professional,PhD,26,22,New Mexico,single,discount,37,44,45,early,4,programming/interactive features
557,female,single,professional,MA,35,18,Florida,single,discount,35,84,27,early,0,programming/interactive features
558,female,married,professional,MA,48,50,Delaware,family,mass-consumer electronics,43,119,36,late,11,saving favorite shows to watch as a family
559,male,single,professional,none,28,21,Idaho,single,web (ebay),35,76,32,early,4,programming/interactive features
560,female,married,professional,BA,56,69,California,family,specialty stores,47,88,4,early,1,schedule control
561,female,married,professional,none,30,48,Hawaii,single,discount,22,95,8,early,1,cool gadget
562,male,married,professional,BA,57,61,Georgia,family,specialty stores,69,192,12,early,1,time shifting
563,female,single,none,none,28,55,Massachusetts,family,discount,15,69,31,early,1,time shifting
564,female,married,professional,none,27,75,Nevada,single,discount,16,43,43,early,2,time shifting
565,male,single,professional,none,54,64,California,single,specialty stores,26,107,13,early,2,cool gadget
566,male,married,professional,none,30,68,Hawaii,family,discount,21,56,3,early,2,cool gadget
567,female,married,professional,none,32,29,Ohio,single,retail,32,137,20,early,3,programming/interactive features
568,female,married,professional,BA,58,35,Maine,family,specialty stores,45,183,7,early,1,cool gadget
569,male,married,professional,PhD,48,28,Hawaii,family,mass-consumer electronics,51,132,27,late,6,saving favorite shows to watch as a family
570,female,married,none,none,36,42,Delaware,family,retail,15,30,11,early,1,schedule control
571,male,single,professional,MA,56,75,Pennsylvania,single,specialty stores,55,231,2,early,1,schedule control
572,female,married,professional,none,29,80,Massachusetts,single,retail,18,87,5,early,2,cool gadget
573,female,married,none,none,23,44,South Carolina,family,retail,18,43,25,early,0,schedule control
574,male,married,none,none,27,48,Connecticut,single,discount,14,53,41,early,2,schedule control
575,female,married,professional,none,27,78,North Carolina,single,discount,10,29,18,early,1,time shifting
576,female,married,none,none,53,49,Colorado,family,mass-consumer electronics,38,166,14,late,5,saving favorite shows to watch as a family
577,female,single,professional,MA,31,23,Kentucky,single,web (ebay),35,144,41,early,4,programming/interactive features
578,male,married,none,MA,49,65,Idaho,family,mass-consumer electronics,40,71,35,late,11,saving favorite shows to watch as a family
579,female,married,none,none,31,35,Tennessee,family,retail,14,63,37,early,1,time shifting
580,male,married,professional,MA,54,52,Hawaii,family,mass-consumer electronics,39,194,27,late,4,saving favorite shows to watch as a family
581,female,married,none,none,29,31,Washington,family,discount,10,32,17,early,2,cool gadget
582,male,married,professional,none,31,32,Washington,single,discount,15,69,37,early,1,time shifting
583,female,married,professional,BA,30,66,New Jersey,family,retail,18,62,34,early,1,time shifting
584,male,married,professional,none,54,68,California,family,mass-consumer electronics,43,74,31,late,4,saving favorite shows to watch as a family
585,female,married,none,MA,31,62,Colorado,single,discount,13,25,35,early,1,cool gadget
586,female,single,professional,BA,30,45,Florida,family,discount,13,35,32,early,1,schedule control
587,female,married,professional,MA,52,73,Arizona,family,mass-consumer electronics,42,169,19,late,10,saving favorite shows to watch as a family
588,female,married,professional,BA,54,69,California,family,specialty stores,60,260,3,early,0,schedule control
589,male,married,none,none,33,58,Oregon,single,retail,15,63,47,early,1,cool gadget
590,female,married,professional,MA,51,27,Illinois,family,mass-consumer electronics,41,97,28,late,12,saving favorite shows to watch as a family
591,male,married,none,none,45,78,Maryland,family,mass-consumer electronics,44,141,24,late,5,saving favorite shows to watch as a family
592,female,single,professional,none,31,21,South Carolina,single,discount,33,48,12,early,4,programming/interactive features
593,male,single,none,none,30,49,Vermont,single,discount,13,20,36,early,1,cool gadget
594,male,married,none,none,26,69,New Jersey,family,discount,18,30,17,early,0,schedule control
595,female,single,none,none,30,46,Florida,single,retail,18,68,37,early,2,time shifting
596,male,married,professional,none,27,76,Georgia,family,discount,14,43,23,early,1,time shifting
597,male,married,professional,BA,59,70,Maryland,family,specialty stores,66,122,12,early,1,cool gadget
598,female,single,professional,PhD,50,32,Louisiana,single,mass-consumer electronics,40,122,31,late,3,saving favorite shows to watch as a family
599,female,married,professional,MA,33,42,Delaware,family,discount,19,32,26,early,2,cool gadget
600,female,married,none,none,32,67,Hawaii,single,retail,16,22,5,early,1,cool gadget
601,female,married,professional,none,33,67,Washington,single,retail,15,67,8,early,0,time shifting
602,male,married,professional,BA,29,64,Florida,family,discount,14,47,46,early,1,schedule control
603,female,single,professional,BA,30,24,Wyoming,single,discount,34,161,42,early,2,programming/interactive features
604,male,married,professional,none,33,63,Tennessee,single,retail,15,58,6,early,1,cool gadget
605,female,married,none,none,32,38,Maryland,family,discount,15,51,15,early,1,schedule control
606,female,married,professional,BA,28,69,Vermont,single,retail,17,73,34,early,0,schedule control
607,female,married,none,none,37,25,Illinois,family,discount,12,55,36,early,1,time shifting
608,female,married,none,none,28,53,New Hampshire,family,retail,17,85,7,early,1,cool gadget
609,female,single,professional,BA,33,21,Arizona,single,web (ebay),32,36,21,early,2,programming/interactive features
610,male,married,professional,BA,62,80,Arizona,family,specialty stores,55,247,10,early,1,schedule control
611,female,married,none,none,46,66,Hawaii,family,mass-consumer electronics,34,119,31,late,2,saving favorite shows to watch as a family
612,male,married,professional,MA,48,22,Vermont,family,specialty stores,49,244,3,early,1,cool gadget
613,female,married,professional,none,28,37,California,family,retail,19,61,44,early,0,schedule control
614,male,single,none,BA,28,43,Connecticut,family,retail,13,39,39,early,1,cool gadget
