Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140678633729109,0.00134681948578432,0.00127438861206336,0.00121530309659229,0.00120958474955548,0.00111321384838027,0.00102547274293449,0,1.00687051196952,0.806180180468963,0.817636820731,0.64443634144708,0.925925925925926,0.629284798839078,0.682107338648975,,,
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,0,1168000000,1006000000,1057000000,866000000,1281000000,928000000,1024000000,,,
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3314216197428,16.6013859596264,14.8743135850472,14.0274619303952,16.6854219948849,13.6861554705028,10.0882993620663,6.69108373788504,7.99690336182899,11.5355724863183,10.0584795321637,9.92909796860053,7.14487737208582,6.44330882259236,7.08643235622964,6.28016401969204,7.17243682511411,6.65634357438779,7.62875635218454,7.00585329689749,5.99265943294921,6.71436859408238,7.38348427233016,8.57764477983057,9.70780299588388,9.95716845520007,,,
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,,,,,,,,,,,,72.437417654809,73.2436818919546,76.7860884139954,81.0474755086662,82.6364892881824,85.361334156887,89.7739361702128,88.1206103172681,87.0204882301657,84.7746044382526,84.3046418975262,86.1568494313359,84.5351936040132,72.7266113778554,60.3385974304069,56.9524518008803,52.6491016589174,48.522116577098,46.5349755984197,45.8594021550226,41.2210003012956,32.8865240970019,27.3439074239328,21.6521739130435,19.7395627117153,19.6923136766765,17.682221032082,16.168404407768,7.49313997516594,5.19818063677713,6.16453773000957,10.2627644816765,3.78238540060406,3.03218122599776,2.66471520327072,3.48992541467216,2.29705894417326,1.76378564636353,3.03440428264786,2.94103505200904,7.30999806613808,4.47533505480686,3.85910891375372,2.36659908184093,1.15838345889704,,,
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,1.02930491644466,1.06800348735833,1.33346601651906,1.36199388492541,1.20522831437786,1.88117259758583,2.40069838498472,14.68147751606,17.7422354472754,19.1148613742035,20.824720959074,18.9960492679526,24.0702120264164,29.0976197649895,40.3322077833487,49.4573821929244,53.1355498721228,58.9855263736747,63.5580364089,70.1328542058981,70.1108530579302,73.9809605567734,73.6380044762111,71.4211355579315,67.4244770973346,70.9031592093693,66.525691507462,66.8743120486737,66.2707336079261,63.3485786947783,63.8388155540332,61.241519615872,56.7331271136185,44.9878166698898,46.6204299714989,48.9786625032527,50.068828024873,46.6031187759371,,,
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,,,,,,,,,,,,8.72200263504611,8.81057268722467,8.92520427404148,10.4747550866616,9.65791292328957,10.1451513279802,9.70744680851064,11.0680552191814,10.451176983435,10.3492884864166,10.5438710275178,11.1016805296215,11.0440507916601,10.3812018041612,12.4197002141328,12.0761267125411,12.2208828425464,11.9264158743282,11.2944457355333,9.08498435870699,11.5923470924977,7.94024352808759,14.0418549756758,8.91304347826087,9.61242356253574,10.5414656916135,7.93497227165143,8.0001976577556,8.00055186791961,7.99942242437369,8.00039390017444,8.00010774555886,8.00061170653379,8.00034028486705,8.00019353355993,7.99955471446065,7.99971286763198,7.99991820124539,5.67485323655423,6.16896126168,9.35292980081222,6.22111756870391,3.84971231965767,5.79240382724505,,,,
Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,27.562582345191,26.7563181080454,23.2139115860046,18.9525244913338,17.3635107118176,14.638665843113,10.2260638297872,10.8500847662872,11.911508282476,13.8919295452284,14.3333642175484,12.6379222542862,13.583633798401,24.8726902371599,24.9799250535332,25.3053127518443,28.2360369668791,29.3251343530384,24.3783406925401,17.3314216197428,16.6013859596264,14.8743135850472,14.0274619303952,16.6854219948849,13.6861554705028,10.0882993620663,6.69108373788504,7.99690336182899,11.5355724863183,10.0584795321637,9.92769118226324,7.14353055260003,6.4420344339803,7.08521705313305,6.27895443494248,7.17132361126572,6.65531810164486,7.62875635218454,5.99898278492798,5.18647925248025,5.89673177335138,6.73904793088309,7.65171885390465,9.0785181970448,9.2750611165511,,,
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,72.437417654809,73.2436818919546,76.7860884139954,81.0474755086662,82.6364892881824,85.361334156887,89.7739361702128,89.1499152337128,88.088491717524,86.1080704547716,85.6666357824516,87.3620777457138,86.416366201599,75.1273097628401,75.0200749464668,74.6946872481557,71.7639630331209,70.6748656469616,75.6216593074599,82.6685783802572,83.3986140403736,85.1256864149528,85.9725380696048,83.3145780051151,86.3138445294972,89.9117006379337,93.308916262115,92.003096638171,88.4644275136817,89.9415204678363,90.0709020313995,92.8551226279142,93.5566911774076,92.9135676437703,93.719835980308,92.8275631748859,93.3436564256122,92.3712436478155,92.9906985164177,94.0041350792557,93.282537226842,92.6105625051161,91.4158498857952,90.2921970041161,,,,
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32802811078958,10.0906344410876,12.7389641988182,13.0799939740886,11.9069545346021,9.17124845274763,8.52685421994885,7.58875544410717,6.66135055235724,5.49384102413489,5.72383917247286,6.99032698174237,11.105335354848,12.4852287434584,15.167881048903,18.8711465674343,23.3556949103106,24.1808087283636,23.0669041522877,27.6980187866607,26.7686424474187,28.7147746178978,34.3299729136281,40.9847224908142,41.5147974788103,38.5780784687889,37.8567698974022,42.2813293099658,,,
Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9550399780273,94.2970886230469,94.6386260986328,94.9771041870117,95.3094635009765,95.6326446533203,95.9435882568359,96.2392349243164,96.5165328979492,96.7724151611328,97.0053405761719,97.2198638916015,97.4220352172852,97.6179275512695,97.813591003418,98.0240097045898,98.2416687011719,98.4757995605469,98.729248046875,99.3,99.2892303466797,99.5673446655273,99.8,99.9291381835938,99.9851226806641,99.9985885620117,100,,
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1004486083984,96.2995223999023,96.4984283447266,96.6963043212891,96.8921127319336,97.084831237793,97.2734298706055,97.4568710327148,97.6341323852539,97.8041763305664,97.9666213989258,98.1216888427734,98.2781829833984,98.4348983764649,98.5946350097656,98.7601928710937,98.9342575073242,99.1190338134766,99.3156967163086,99.9,99.7172088623047,99.8712692260742,99.9,99.9926605224609,99.9994659423828,100,100,,
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8272367713591,92.2479809376929,92.6387963271651,93.0299288339715,93.4212385310318,93.8076454296576,94.183002848418,94.541285310661,94.8748998538446,95.1760211995169,95.438465300523,95.6894516017486,95.9094695306172,96.1152764466896,96.3179370814344,96.5564475812539,96.8043290539806,97.0860556836907,97.4100957300989,98,98.245885650111,98.7960010219763,99.3,99.7548916126713,99.9442783278316,99.9944200909323,100,,
Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.80277832334301,5.40923063551117,5.47731171188343,5.38958398548126,4.90963527456795,4.83656303194294,4.86524705311517,5.27605481875812,5.41374248680777,5.1669541990239,5.41281799476531,5.60410233693281,5.49639183773907,5.56657375108045,5.60613957549311,5.77325258814497,5.49788571414464,5.66366855986573,5.64757100865422,5.44861746893875,5.17775710479189,5.12751727114068,4.94677567651701,5.32762479195132,5.13496071863633,4.68220513581964,,,
Access to clean fuels and technologies for cooking  (% of population),EG.CFT.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.53,94.99,95.28,95.58,95.87,96.03,96.32,96.34,96.46,96.43,96.47,96.56,96.62,96.49,96.38,96.3,96.3,,
"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,,,,,,,,,,,20134000,34448000,23070000,77932000,783436000,861048000,743788000,602071000,576864000,317443000,356811000,236245000,392535000,918961000,1066242000,258586000,553729000,443370000,351153000,192163000,273498000,598646000,387054000,1826858000,1412524000,1078123000,621906000,362272000,353237000,2105560000,3577398000,522605000,321669000,0,0,11000000,595720000,446000000,1135043000,363636000,109091000,0,0,558120000,321000000,79731000,0,,
"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,,,,,,,,,,,181011000,274499000,313320000,412040000,630848000,804275000,793703000,899821000,1047139000,1044391000,1403944000,1502148000,1758374000,1709280000,1407762000,1682256000,1956911000,1896955000,2264826000,1987191000,1794777000,1262159000,1579476000,2347071000,2234744000,2068898000,1621365000,830631000,559387000,2361060000,2354717000,3452875000,3795995000,3274638000,1808330000,757423000,357222000,157626000,78910000,30272000,13685000,3480000,1330000,496000,123000,0,0,,
"Undisbursed external debt, total (UND, current US$)",DT.UND.DPPG.CD,,,,,,,,,,,201145000,308947000,336390000,489972000,1414284000,1665323000,1537491000,1501892000,1624003000,1361834000,1760755000,1738393000,2150909000,2628241000,2474004000,1940842000,2510640000,2340325000,2615979000,2179354000,2068275000,1860805000,1966530000,4173929000,3647268000,3147021000,2243271000,1192903000,912624000,4466620000,5932115000,3975480000,4117664000,3274638000,1808330000,768423000,952942000,603626000,1213953000,393908000,122776000,3480000,1330000,558616000,321123000,79731000,0,,
Total amount of debt rescheduled (current US$),DT.TXR.DPPG.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PPG, private creditors (TDS, current US$)",DT.TDS.PRVT.CD,,,,,,,,,,,40231000,19758000,29370000,65074000,87523000,92030000,198158000,362133000,701464000,402028000,211426000,299190000,598526000,788726000,1310121000,3939376000,1683780000,2335587000,3619881000,2703903000,3056401000,1547379000,2676415000,2385684000,3175739000,1767002000,2798438000,1738275000,1549507000,1741892000,2076535000,2627524000,3791525000,4610122000,4216118000,4427360000,2584383000,2945532000,1612162000,5050013000,2102635000,3914305000,3914844000,2562496000,3440593000,7452926000,3192470000,,
"PPG, other private creditors (TDS, current US$)",DT.TDS.PROP.CD,,,,,,,,,,,2277000,3579000,5427000,11943000,19143000,22937000,17517000,43225000,53951000,36279000,56789000,74106000,68173000,97836000,158392000,375809000,309326000,531908000,652102000,671590000,538866000,898748000,1788797000,919830000,432256000,765879000,272732000,221620000,214986000,211910000,224458000,222921000,331648000,474711000,473596000,297664000,288770000,279520000,283481000,237556000,191997000,141836000,141363000,120761000,25220000,28000,27000,,
"PNG, commercial banks and other creditors (TDS, current US$)",DT.TDS.PNGC.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797625000,427896000,681974000,144071000,,
"PNG, bonds (TDS, current US$)",DT.TDS.PNGB.CD,,,,,,,,,,,12600000,14000000,22400000,37200000,48800000,74000000,135800000,185000000,209500000,268000000,306455000,457170000,522912000,607549000,815517000,774250000,1024234000,1184000000,1163764000,680000000,511100000,527330000,631778000,926217000,1573574000,3094245000,3655946000,3094135000,3283493000,1811043000,2991377000,2298190000,2217890000,3536870000,3596720000,3090174000,3175122000,2975034000,2808367000,3269119000,2384256000,1488073000,1626671000,7541884000,8179228000,4624403000,6146488000,,
"PPG, commercial banks (TDS, current US$)",DT.TDS.PCBK.CD,,,,,,,,,,,0,2917000,7116000,17100000,48518000,59394000,145494000,301625000,630931000,340783000,125581000,207338000,484471000,612901000,951834000,3181583000,989102000,1404397000,1746068000,1039696000,863805000,321403000,288537000,332427000,1409581000,610082000,1845303000,921265000,499588000,556613000,1053014000,1075530000,1475847000,3255972000,1994531000,1347557000,593462000,675101000,526186000,1201232000,1139288000,2169544000,2309217000,1315549000,268037000,578354000,269531000,,
"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,,,,,,,,,,,37954000,13262000,16827000,36031000,19862000,9699000,35147000,17283000,16582000,24966000,29056000,17746000,45882000,77989000,199895000,381984000,385352000,399282000,1221711000,992617000,1653730000,327228000,599081000,1133427000,1333902000,391041000,680403000,595390000,834933000,973369000,799063000,1329073000,1984030000,879439000,1747991000,2782139000,1702151000,1990911000,802495000,3611225000,771350000,1602925000,1464264000,1126186000,3147336000,6874544000,2922912000,,
"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,,,,,,,,,,,29226000,28061000,33202000,40517000,47517000,55910000,69825000,82749000,142687000,149143000,164824000,192598000,197329000,229524000,280221000,359241000,487670000,744481000,1099893000,755476000,597341000,656616000,726095000,1000727000,947529000,738977000,1321211000,1032007000,584960000,1021094000,1098739000,1099277000,1682683000,1157969000,1057715000,1532341000,1039529000,1892534000,948828000,1177574000,784571000,711376000,682576000,369363000,341126000,327792000,331989000,,
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,,,,,,,,,,,40000,110000,720000,180000,580000,890000,610000,550000,640000,830000,580000,420000,770000,420000,660000,760000,1250000,600000,1920000,1870000,2360000,1570000,1070000,800000,1150000,2170000,2320000,1960000,1460000,160000,340000,620000,910000,120000,210000,330000,170000,,,50000,190000,10000,,,,,,,
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,10000,50000,160000,130000,130000,160000,80000,110000,160000,80000,100000,270000,150000,190000,240000,350000,650000,1110000,650000,1220000,1070000,1730000,1850000,430000,140000,340000,490000,370000,,
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,40000,50000,70000,180000,210000,240000,380000,580000,1530000,12360000,2220000,12340000,12990000,15450000,36260000,63270000,33960000,29450000,48000000,74620000,65630000,64720000,75320000,92300000,245130000,125590000,37770000,276390000,24830000,79630000,372630000,199840000,157120000,-22180000,5320000,64830000,-482510000,-258880000,179100000,122610000,23940000,13110000,54150000,79150000,256500000,-2140000,201700000,222970000,113830000,91780000,-53160000,-14750000,-5210000,-160460000,-30420000,-48330000,-94380000,,
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,,,10000,,,,,10000,,10000,10000,,,10000,10000,40000,,,,80000,10000,510000,540000,120000,510000,1050000,2010000,1020000,1340000,610000,800000,700000,960000,50000,290000,80000,30000,30000,,,,30000,,40000,,,,,70000,30000,,70000,10000,,,0,20000,,
"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,,,,,,,,,,,,,,,,,,,,,,,10000,,,10000,,10000,,,,,10000,,,,,,0,,,,,,,,,,,,,10000,,,,,,,
"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,11940000,15970000,9220000,3690000,9760000,11090000,13150000,8970000,10660000,6740000,11490000,9940000,12690000,8720000,7400000,7590000,5710000,11320000,130000,410000,20820000,2180000,4710000,1280000,210000,1920000,75420000,10820000,12210000,10630000,29820000,17640000,22350000,40110000,15140000,-14630000,-3970000,-5150000,1710000,1000000,180000,50000,-110000,-330000,7370000,1310000,9940000,-20160000,18920000,4180000,-750000,7160000,10280000,5950000,-3030000,8560000,5750000,,
"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,,,,,,,,,,,,,2200000,,1660000,3380000,40000,560000,400000,-300000,300000,-110000,1600000,15020000,17010000,15930000,6900000,8140000,6370000,3150000,2490000,-780000,1430000,1300000,5860000,12950000,3470000,860000,-1830000,-2040000,-2760000,-3290000,-2710000,-3500000,-2410000,-4170000,-2960000,-4760000,-9220000,-50000,1020000,1970000,1370000,2150000,4340000,5160000,5330000,,
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,,,,,,,,,,,,,20000,20000,90000,30000,,,,70000,150000,40000,20000,80000,360000,20000,260000,260000,310000,150000,510000,9320000,1180000,20450000,2690000,-400000,-1150000,-4650000,-2700000,-2390000,-3250000,-3150000,-2120000,10000,440000,250000,-1350000,140000,350000,240000,260000,200000,220000,250000,190000,,10000,,
"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,40000,30000,20000,40000,60000,100000,60000,2250000,5430000,890000,520000,270000,,,130000,100000,240000,,-240000,60000,-250000,-120000,,
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,,,,,,,10000,30000,90000,80000,40000,2360000,1320000,250000,330000,-80000,-220000,-120000,-250000,-300000,-120000,720000,170000,160000,30000,-160000,-200000,-240000,-220000,-180000,-270000,630000,2500000,,,4420000,8360000,9890000,7740000,11440000,13540000,10780000,25970000,10110000,18640000,8850000,7180000,-21170000,5600000,5090000,2310000,240000,-19550000,,,110000,420000,,
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,10000,10000,200000,160000,500000,1030000,1220000,4170000,2470000,1540000,1200000,2260000,4040000,2390000,3780000,3680000,2500000,2460000,2980000,3740000,6470000,7410000,9210000,5860000,4180000,7170000,6380000,7670000,7300000,8180000,8590000,8570000,11000000,10800000,6520000,7730000,7510000,6400000,5900000,6230000,5450000,4110000,4480000,6280000,7260000,7910000,7990000,9570000,10830000,10980000,11220000,10800000,9120000,9130000,10280000,9550000,11360000,,
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",DC.DAC.CZEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,30000,,60000,60000,50000,150000,,,20000,,
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,,,,,,,,,10000,10000,60000,20000,60000,90000,90000,40000,10000,30000,200000,40000,40000,70000,90000,110000,70000,160000,260000,430000,700000,260000,590000,270000,180000,150000,220000,300000,310000,240000,140000,110000,50000,,40000,200000,260000,100000,50000,20000,30000,30000,,10000,10000,20000,30000,80000,40000,,
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,,,3.11,,3.28,,3.36772,,3.167154,,
"Lead time to import, median case (days)",LP.IMP.DURS.MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,2.75,,2,,1,,7,,
"Lead time to export, median case (days)",LP.EXP.DURS.MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,2.64,,3,,1,,3,,
Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.00104782235010312,0.0255384775216195,0.0996074172862497,0.145673836668164,0.852044466496617,2.30739323403082,6.75177048301491,12.3055021987515,21.3847311644538,26.6959725007084,32.3382043389359,34.9711523397291,42.2522656295248,48.629170245984,51.6379889864403,55.7,55.8,55.9,56.3,61,65.8,57.05751226,63.6654258813225,71.0640678111957,78.7883099275229,80.1404790103961,
Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0692577897161,57.6215339425059,101.061155848918,121.319334976149,149.298579526404,230.412534129389,930.411820337564,4836.98213498344,
Secure Internet servers,IT.NET.SECR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267,1650,2948,3604,4513,7079,29017,152966,
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0168784155319906,0.0797642495740803,0.447176184184321,1.00301464492745,1.88274134154304,2.87259970579377,3.88795172510018,4.90316335368406,5.62788786520368,7.46221696852931,8.75393328082906,10.0132133690334,9.89270981209507,10.1263672043059,9.9722831200116,8.71766087856694,8.49917013088431,
Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,19302,110402,252500,483100,751000,1035200,1329300,1553600,2097800,2506700,2920900,2938800,3061000,3063800,2718800,2687800,
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.588701434062522,,,,,0.829260248423277,,,,,0.962608402201485,,,,,1.3895319242493,1.55794904968709,1.7791578248497,2.06514192678557,2.41566972142541,2.86734610680799,3.45744680851064,4.04536553445865,4.72444223371182,5.58945471600306,6.14527575011177,6.49937017947034,6.84848171642812,7.32744414534813,7.9162026442676,8.79097339491852,9.80525384072299,11.0009381086056,12.3658634559371,14.3281642460304,16.2593312114792,17.9387167232047,19.5825567201051,19.8256953320384,19.5565989942041,19.9606583532336,19.8724945416259,19.298067991853,18.5168131351412,17.6620550900133,17.0138358300214,16.6086753429123,16.3375096640125,16.6500258621303,16.3881080729798,16.3978109359931,15.7949355071854,15.7313276144878,15.2685971027973,14.5897761007611,14.6127570557125,15.510176990512,20.8011165097787,
Fixed telephone subscriptions,IT.MLT.MAIN,48021,,,,,79000,,,,,104000,,,,,169000,194259,227564,271010,325154,395640,488670,585390,700097,849129,958598,1042827,1131719,1247687,1388183,1585744,1816860,2091578,2410721,2863755,3332447,3771314,4223042,4384148,4430799,4628000,4709564,4669903,4571561,4446265,4365647,4342100,4350000,4514000,4524000,4609800,4522900,4588900,4535800,4410200,4489500,4837200,6578200,
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,0.0674164432176484,0.105360884782115,0.160339796805044,0.224789377217834,0.480199903305856,0.701585702417351,1.0549408911632,1.7441527343955,2.86047446891948,4.90381421921986,7.23158819674589,9.27414727114013,9.94869008310955,13.1972204093822,22.0902035435085,31.1617746759376,37.4109289915112,45.0570449164543,58.0397900080595,76.1709367014255,74.4493769518665,87.6854800288967,102.220240743735,109.196094109616,120.440921762009,128.029111656145,141.666280431132,144.76520534543,148.632310217372,143.552965182124,139.367783612959,133.879795589867,
Mobile cellular subscriptions,IT.CEL.SETS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,10817,17411,27302,39419,86620,130000,200573,340022,571720,1005066,1520320,2000000,2200000,2990000,5121748,7385000,9053000,11124000,14611000,19545000,19463722,23347000,27713000,30144000,33858700,36661300,41324700,43005000,44928600,44104000,43465000,42338500,
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4642428,6224913,8751570,10210145,11510931,12197750,13419053,14828836,16093953.3104,15922799.6478778,18141919,20064456,20898133,21376500,22645237,24259700,24570000,24719000,
Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.83,64.97,69.2,81.58,77.6,81.21,88.14,90.96,99.69,98.18,104.02,110.58,106.79,,
Rail lines (total route-km),IS.RRS.TOTL.KM,,,,,,,,,,,,,,,,,,,,,1639,1639,1639,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1648,1648,,1622,1636,1636,1667,1667,1657,1667,1667,1665,1665,1665,1987,2250,2250,2250,,,,
"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.531,1424.588,1518.055,1701.197,1839.912,1849,,1775.966655,1348,1270,1370,1492,1397,1312,1312,1181,1123,1931,1931,1181,2075,2193,2268,1527,1527,965,3293,3293,3293,,,,
"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,,,,,,,,,,,,,,,,,,,,,,,,,,,1045.58,1124.47,1326.406,1361.137,1404.438,1262,,,1463,1416,1574,1338,,907,907,1531,,1224,1224,1178,1572,1355,1350,1384,1384,1535,3071,3071,3071,,,,
"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,748900,875100,1015600,1864400,2331900,2503600,2671000,2864700,3096000,3489500,4516400,5347700,5241700,5360900,5685400,5687000,6310500,7396100,7683600,8694600,10241500,11837400,12756900,13101300,14249800,15417800,15117600,15591600,13654400,14984600,16560793,16107156,16281275,16704600,19226564,20369086,17833364,21325754,22420870,23766316,34239014.1725209,38218608.8523534,39165195.2176778,47995842.0041797,49673884,50345820,53817353,58188823,
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,9.3000001907,14.6000003815,16.2000007629,8.3000001907,19.1000003815,26.7999992371,33.4000015259,45,82.3000030518,68.6999969482,109.9000015259,130.3000030518,141.3000030518,163.1000061035,192.6000061035,200.5,259.299987793,343.3999938965,373.200012207,403.700012207,574.200012207,713.5999755859,763.700012207,677.799987793,797.0999755859,1198.8000488281,1414.5999755859,1425.6999511719,1375.5999755859,1424.5999755859,1863.841,1774.745,1923.655,2178.51,2599.165,2577.581,2597.404,2661.528,2444.462,2853.263,2564.65822417581,2193.26000841583,1943.95888344729,2161.992838,2193.300634,2005.979379448,1149.876958418,1261.636780055,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,,,,,,,,,,,27700,31300,38600,63400,70700,72800,73700,71000,71900,75100,88600,97800,95800,95100,95100,94700,94100,101400,109400,111900,130500,145800,164800,164500,175000,178200,188300,194100,174000,164800,169263,169840,189382,166716,170054,176152,163665,185052,176549,182002,302185.222466875,336401,343382,430334.457756879,443318.55,463740,447001,432454,
"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",IQ.WEF.PORT.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72017141799334,5.70703004942529,5.5227711188,5.5768323303,5.7,5.5,5.4,5.6,5.56585090511341,5.6,5.4,
